Tweet_ID,Content,Date_Post
dante_02_1319095468576610048,"A VACINA CHINESA DE JOÃO DORIA\n\n- Para o meu Governo, qualquer vacina, antes de ser disponibilizada à população, deverá ser COMPROVADA CIENTIFICAMENTE PELO MINISTÉRIO DA SAÚDE e CERTIFICADA PELA ANVISA.\n\n- O povo brasileiro NÃO SERÁ COBAIA DE NINGUÉM. (continua).",2020-10-21
dante_02_1224753106480770048,"Depois de ser muito bem atendida numa Upa da minha região, hoje fui à farmácia do posto de saúde, peguei a medicação gratuitamente e descobri que posso tomar uma vacina, que vai me imunizar por um tempo das crises de asma. O ar falta, mas é bom ter lugar de respirar. VIVA o SUS!",2020-02-04
dante_02_1250855811267670016,A ciência corre contra o tempo e também contra a falta de verba. Pesquisadores e pesquisadores do país estão em ação para testar medicamentos e desenvolver uma vacina contra o Covid19. Universidades públicas são essenciais pra isso. Imagina o que fariam com mais investimento?,2020-04-16
dante_02_1281596895152960000,"Pelas quase 70 mil vítimas e suas famílias\nPelos profissionais de saúde na linha de frente\nPelos pesquisadores na busca incansável de tratamento, cura, vacina\nPor quem cumpre as medidas sanitárias\nPelas perifas organizadas em redes solidárias contra a covid\nEu digo #ForaBolsonaro",2020-07-10
dante_02_1286258205472029952,"Guerra das Vacinas. Anotem no caderninho: infelizmente, será a nova expressão corrente em nosso vocabulário.",2020-07-23
dante_02_1289559283235840000,"@aureacarolinax Assisti pelo youtube a sua fala na edição de 2018 do BR forum UK, em Oxford. Virei uma admiradora justamente porque suas falas vinham de um lugar de vivência genuíno, de alguém que entendia a política como um constante ""agir político"", e não como uma carreira com fim em si mesma.",2020-08-01
dante_02_1292430427819510016,"Qdo o mundo se volta p/ a busca da vacina, os povos indígenas nos ensinam q a cura está na retomada dos princípios da vida. Se uma pandemia não for suficiente para revermos os valores que nos trouxeram até aqui, teremos falhado como humanidade. #DiaInternacionaldosPovosIndígenas",2020-08-09
dante_02_1293984539086289920,"Os cortes do desgoverno na Educação vão ser fatais p/ a universidade pública. Na UFMG, serão quase R$38 mi a menos. Significa:\n\n- Ensino sucateado\n- Redução no atendimento à população em ações de extensão\n- Interrupção de pesquisas importantes, como testes e vacinas p/ covid-19",2020-08-13
dante_02_1298632749784470016,"A página do presidente da República tá transmitindo no Face a visita dele a Ipatinga (MG) como se a pandemia já tivesse acabado e a vacina pronta e imunizado as pessoas. Aglomeração, o presidente sem máscara. Um deboche, um escárnio frente as mais de 116 mil vítimas da Covid-19. https://t.co/TO5mg9nJEH",2020-08-26
dante_02_1300901247835219968,"120 mil mortes por covid-19 no Brasil:\n\n- Ministério da Saúde (ainda sem ministro) nomeia veterinário s/ experiência p/ dirigir dpto de imunizações.\n- Gov federal finalmente adere à aliança da OMS pela vacina, mas presidente segue ironizando vacinação.\n\nO escárnio não tem fim.",2020-09-01
dante_02_1301509931355470080,"A rotina de vacinação dos bebês é muito intensa. Às vezes Jorginho fica sensível, num chororô danado. Mas é por um bom motivo, nós sabemos. A dor passa rapidinho e a saúde fica! Vamos cuidar de nós. #VacinaÉAmorAoPróximo",2020-09-03
dante_02_1305672682441110016,"Recado de mãe, gente: atenção redobrada à saúde dos pequenos em tempos de pandemia. A covid-19 pode ter sintomas diferentes em crianças e adultos. Apesar do esforço da ciência em busca da vacina, ainda tem muito sobre o vírus que não sabemos. Não é hora de facilitar!",2020-09-14
dante_02_1316133067610889984,"@gandreas_jansen Oi, Guilherme. Que bom que você acompanha o nosso trabalho! Olha, todas as nossas peças de campanha para TV têm legenda e tradução em Libras. O primeiro vídeo dependia de acionar o Closed Caption; os demais já foram ao ar com legenda impressa. Um abraço!",2020-10-13
dante_02_1319053446729870080,"@razione @jairbolsonaro É que a possibilidade de uma vacina não pode ser descartada assim, especialmente se é tão promissora quanto essa! Sabemos a recusa do presidente tem um caráter puramente ideológico.",2020-10-21
dante_02_1319050766380910080,"Nós da oposição na Câmara vamos acionar o STF caso @jairbolsonaro insista na pirraça genocida de recusar a vacina da Sinovac/Butantã! Saúde é direito e negar isso à pop é crime, presidente! Nós é q não seremos cobaias de seus caprichos ideológicos emburrecidos! #bolsonarogenocida",2020-10-21
dante_02_1318919191295030016,"Mais uma vez, Bolsonaro faz política brincando com a saúde e a vida de milhares de brasileiros. Desautorizar a compra da vacina chinesa é um absurdo! Como deputada e ao lado da bancada do PSOL farei o que for possível para defender os interesses do Brasil. #bolsonarogenocida",2020-10-21
dante_02_1319322955671879936,"A aquisição da vacina será disputada e o Brasil precisa garantir de antemão que a população terá acesso a ela, s/ abrir mão dos necessários processos de segurança. Bolsonaro mente ao dizer q a aprovação da Anvisa é o motivo. Isso não impediu as negociações c/ a vacina de Oxford.",2020-10-22
dante_02_1319768061034070016,A Anvisa finalmente liberou a importação de doses da vacina Coronavac pelo Butantan. É INADMISSÍVEL que haja qualquer tentativa de intervenção indevida. Nossa bancada do @psolnacamara segue atenta ao processo. Não vamos aceitar a pirraça ideológica do presidente!,2020-10-23
dante_02_1320870065638670080,Um estudo da UnB mostrou que parte da população agora mostra rejeição à vacina produzida por empresas chinesas e russas. É isso que acontece quando o presidente trabalha para espalhar a desinformação. Sua responsabilidade será cobrada!,2020-10-26
dante_02_1320870064321679872,"Vocês já pensaram como vão explicar pros seus filhos e filhas, daqui a muitos anos, que o presidente do nosso país espalhava mentiras sobre vacina durante uma pandemia terrível? Eu penso nisso todo dia.",2020-10-26
dante_02_1321202513379529984,"Acompanho esperançosa os avanços da ciência contra a covid-19 e torço para liberarem logo uma vacina eficaz e segura. Mas saber que o mundo bateu 9 vezes recordes de novos casos diários em outubro nos convoca a manter o pé no chão: a pandemia NÃO acabou, gente. Vamos nos cuidar😷",2020-10-27
dante_02_1321595101320079872,"Vacina contra o sarampo: em MG, só 35% do público-alvo da campanha 2020 se vacinou. Chocante. A doença é altamente contagiosa e pode matar, gente! Vacina é segura e protege. Não acreditem em quem diz o contrário disso. #DefendaoSUS",2020-10-28
dante_02_1321510541337200128,Na cabeça de Bolsonaro funciona assim:\n\n- Investir em vacinas contra a Covid-19 ❌\n- Combater a pandemia ❌\n- Priorizar a ciência e a pesquisa ❌\n- Privatizar o SUS ✅\n\nInversão de prioridades que leva o Brasil ao fundo do poço. Bolsonaro precisa ser interditado! #DefendaoSUS,2020-10-28
dante_02_1321421463845530112,"Tô chocada: mais de 60% das crianças c/ menos de 5 anos ainda não foram vacinadas contra a pólio! Pais, mães, responsáveis: levem seus filhos! A vacina é gratuita e é dada no postinho mais próximo! Não se deixem influenciar pelos delírios do presidente! Vacina protege e é segura!",2020-10-28
dante_02_1325845612647079936,"Bom demais começar a semana com as notícias de eficácia da vacina da Pfizer. Seguimos confiantes na ciência, exercida com responsabilidade e transparência. Vale lembrar que a pandemia não acabou, geral. Ainda há muitas etapas até a vacinação em massa. Bora seguir com os cuidados!",2020-11-09
dante_02_1326249246023089920,Hoje o presidente comemorou uma morte. E a Anvisa interrompeu os testes da CoronaVac c/ uma 'justificativa' que não se sustenta. Nós do @psolnacamara pedimos que o presidente da Agência seja convocado a se explicar. A saúde das pessoas não pode ser refém de #bolsonarogenocida,2020-11-10
dante_02_1326154302159719936,O conflito entre Bolsonaro e Dória sobre a vacina do Instituto Butantã revela a miséria moral de quem só pensa em 2022. É vergonhoso transformar a vacina em palanque eleitoral. A maior crise da nossa geração é uma questão humanitária.,2020-11-10
dante_02_1328786902267399936,"Após atingir o menor valor desde abril, a taxa de contágio (RT) da Covid-19 voltou a subir. O número de internações aumentou em várias cidades. As vacinas continuam sob teste. Então nunca é demais lembrar o óbvio: a pandemia não acabou, gente. Os cuidados seguem imprescindíveis.",2020-11-17
dante_02_1329159945787460096,"Tô feliz com os anúncios sobre a Coronavac e as vacinas da Pfizer e da Moderna. Resultados preliminares, mas promissores. Alento em meio ao aumento de infecções e internações. Se depender de nós, a vacina não será objeto de disputa política. É pela vida e saúde dos brasileiros!",2020-11-18
dante_02_1329515300937750016,"Lembrando que a campanha é para aumentar a cobertura vacinal da população. A vacina contra polio é ofertada o ano inteiro, em todos os centros de saúde do país! VIVA O #SUS!",2020-11-19
dante_02_1329514788569840128,"Só metade das crianças em BH tomou vacina contra polio. Metade! 😢 E a campanha termina nesta sexta!\n\nGente, a doença é MUITO grave e deixa sequelas. Então, por favor, vacinem suas crianças com idade entre 1 e 5 anos! É seguro, gratuito e está disponível no postinho mais próximo.",2020-11-19
dante_02_1333920061007020032,"Há um ano, um dos 1ºs pacientes com covid começava a manifestar sintomas. Hoje são ao menos 63 milhões de casos e 1,4 milhão de mortos no 🌎. A vacina está próxima, mas a 2ª onda no BR também. A hora é de redobrar os cuidados e reparar os danos de quem mais sofre com a pandemia.",2020-12-01
dante_02_1334315583853260032,"Acabamos de aprovar agora há pouco na Câmara a MP que destina R$1,9 bilhão para a produção de vacinas contra a Covid-19. O que representa 100 milhões de doses de vacina. Proteger a vida tem que ser uma prioridade!",2020-12-02
dante_02_1334564062030589952,"UK e Rússia já anunciaram vacinação em massa. Votamos na Câmara MP que libera R$ 1,9 bilhão p/ 100 milhões de doses da vacina de Oxford. Butantan diz que Coronavac pode estar disponível em janeiro. A vacina é uma realidade próxima no mundo e faremos tudo p/ viabilizar isso no BR.",2020-12-03
dante_02_1336399627080349952,"Quase 180 mil pessoas mortas pelo coronavírus no país e o Governo Federal não esconde seu descaso com a vida dos brasileiros. Bolsonaro age para controlar a Anvisa com seu negacionismo genocida. Enquanto isso, nenhum sinal de um plano consistente de imunização da população.",2020-12-08
dante_02_1336780114059800064,- Aumenta impostos nos livros.\n- Zera os impostos nas armas.\n- Não investe em um plano nacional de vacinação.\n- Faz piada homofóbica sobre a pandemia que já matou mais de 170 mil brasileiros.\n\nEsse é Bolsonaro e seu governo de morte. #ForaBolsonaro,2020-12-09
dante_02_1336720084300130048,"Devastador. Enquanto o mundo anuncia protocolos para vacinação em massa, o governo brasileiro se limita a ações evasivas, polêmicas e gestão caótica da saúde. Não dá um dia de tranquilidade para a população, ao mesmo tempo que os números da pandemia sobem sem controle. https://t.co/tRQrzS1KPD",2020-12-09
dante_02_1338665181371630080,"Diante desse quadro lamentável, o @psol50 lança uma campanha nacional pela vacinação contra a covid-19 disponível para todos e todas através do SUS: \nhttps://t.co/GpyfEDcC8F",2020-12-14
dante_02_1338665079177400064,"Enquanto países em todo o mundo começam os processos p/ a vacinação, o Brasil segue lidando c/ a postura negacionista e irresponsável de Bolsonaro. O país sofre com a total falta de comando, sem políticas centralizadas de prevenção, controle e imunização.",2020-12-14
dante_02_1338604680868339968,Professoras e professores devem estar entre os primeiros grupos a receberem as vacinas contra a covid-19. As perdas educacionais vividas durante a pandemia são imensuráveis. Garantir estrutura e segurança para o trabalho das educadoras é fundamental.,2020-12-14
dante_02_1339004815922370048,"Orgulho que chama, né? Graças à @ufmg, BH poderá estocar 1,2 milhão de doses de vacina. Se for aprovada e adquirida por aqui, a vacina da Pfizer precisará ser armazenada em temperaturas baixíssimas, garantidas pelos freezers da universidade. A UFMG já firmou parceria com a PBH.",2020-12-15
